"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
0.000000000E0,1.932981270E1,-9.913036140E1,2.241943981E3,2.234200195E3,NaN,NaN,5.595061084E-1,1.637599945E1,1.950928926E0,-1.000000000E0
0.000000000E0,1.932922940E1,-9.912506500E1,2.241534667E3,2.233800049E3,NaN,NaN,5.595061084E-1,1.990800095E1,1.243695855E0,-1.000000000E0
0.000000000E0,1.932922940E1,-9.912506500E1,2.241534667E3,2.233800049E3,NaN,NaN,5.641828803E-1,1.990800095E1,1.243695855E0,-1.000000000E0
1.285427472E0,1.932926150E1,-9.912503620E1,2.241334587E3,2.233600098E3,NaN,NaN,5.710114467E-1,1.863299942E1,1.074791193E0,-1.000000000E0
5.084487915E0,1.932920012E1,-9.912503414E1,2.236050053E3,2.228315430E3,0.000000000E0,NaN,5.738893992E-1,9.710789680E0,1.783589172E1,2.000000000E0
6.086418436E0,1.932917554E1,-9.912502555E1,2.228519818E3,2.220785156E3,0.000000000E0,NaN,5.801144714E-1,9.135049820E0,1.683742332E1,1.000000000E1
7.084499998E0,1.932916031E1,-9.912496846E1,2.234325403E3,2.226590820E3,1.669999957E0,8.969999695E1,5.828305023E-1,6.687764168E0,1.412674522E1,1.000000000E1
7.805936508E0,1.932918141E1,-9.912498150E1,2.232973819E3,2.225239258E3,0.000000000E0,NaN,5.895522353E-1,3.790092468E0,6.420348167E0,1.000000000E1
8.813890726E0,1.932918841E1,-9.912491787E1,2.234379195E3,2.226644775E3,4.579999924E0,9.359999847E1,5.950000225E-1,3.790092468E0,6.655116558E0,1.900000000E1
9.821020257E0,1.932918976E1,-9.912486597E1,2.230441345E3,2.222707031E3,5.820000172E0,9.190000153E1,6.012905418E-1,3.929414034E0,7.241816998E0,2.200000000E1
1.081087281E1,1.932919210E1,-9.912480607E1,2.230551817E3,2.222817627E3,7.099999905E0,9.200000000E1,6.079230399E-1,3.870162010E0,6.543862343E0,2.300000000E1
1.180830588E1,1.932919186E1,-9.912474286E1,2.232361019E3,2.224626953E3,7.389999866E0,9.590000153E1,6.159888873E-1,3.790092468E0,5.370906353E0,2.300000000E1
