"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
8.572906300E-2,1.932335500E1,-9.918045870E1,2.287757673E3,2.279900146E3,NaN,NaN,2.086568822E-2,4.556039810E1,9.896803856E0,-1.000000000E0
1.103883125E0,1.932354102E1,-9.918043255E1,2.296111204E3,2.288254150E3,0.000000000E0,NaN,2.116743725E-2,4.151073456E0,4.010417461E0,2.100000000E1
1.290415833E0,1.932354373E1,-9.918043270E1,2.296886833E3,2.289029785E3,0.000000000E0,NaN,2.321209843E-2,4.468047142E0,4.577377319E0,2.100000000E1
2.291355729E0,1.932354222E1,-9.918045212E1,2.297332676E3,2.289475586E3,1.120000005E0,7.599999905E0,2.405162405E-2,4.097970486E0,4.057435989E0,2.000000000E1
3.288419426E0,1.932353710E1,-9.918045800E1,2.295813656E3,2.287956543E3,1.820000052E0,2.571000061E2,2.631412440E-2,3.790092468E0,3.484782219E0,2.100000000E1
4.288488332E0,1.932353926E1,-9.918047944E1,2.295804904E3,2.287947754E3,2.410000086E0,2.670000000E2,2.947445479E-2,3.790092468E0,3.507690907E0,2.100000000E1
5.290150050E0,1.932353664E1,-9.918050943E1,2.295869423E3,2.288012207E3,3.190000057E0,2.615000000E2,3.241776378E-2,3.790092468E0,3.200282335E0,2.100000000E1
6.294984321E0,1.932353662E1,-9.918053748E1,2.296529879E3,2.288672607E3,2.559999943E0,2.651000061E2,3.535924768E-2,3.790092468E0,2.909198999E0,2.100000000E1
7.294984321E0,1.932353500E1,-9.918056546E1,2.296937653E3,2.289080322E3,2.490000010E0,2.657999878E2,3.741371792E-2,3.790092468E0,2.651292801E0,2.100000000E1
8.294984321E0,1.932353418E1,-9.918058502E1,2.296995799E3,2.289138428E3,2.230000019E0,2.636000061E2,3.911721389E-2,3.790092468E0,2.500000000E0,2.100000000E1
9.294984321E0,1.932353194E1,-9.918060108E1,2.296887437E3,2.289030029E3,1.860000014E0,2.618999939E2,4.039170648E-2,3.790092468E0,2.500000000E0,2.100000000E1
1.029498432E1,1.932352710E1,-9.918061209E1,2.296871845E3,2.289014404E3,2.299999952E0,2.508000031E2,4.293604424E-2,3.790092468E0,2.500000000E0,2.200000000E1
1.129498432E1,1.932351180E1,-9.918063012E1,2.296096769E3,2.288239258E3,2.400000095E0,2.178000031E2,4.611094741E-2,3.790092468E0,2.500000000E0,2.100000000E1
1.229498432E1,1.932348964E1,-9.918064920E1,2.295794611E3,2.287937012E3,2.480000019E0,1.998000031E2,4.902388955E-2,3.790092468E0,2.500000000E0,1.900000000E1
1.329498432E1,1.932346351E1,-9.918065118E1,2.296383541E3,2.288525879E3,3.140000105E0,1.700000000E2,5.169542979E-2,3.790092468E0,2.500000000E0,2.000000000E1
1.429498432E1,1.932343956E1,-9.918064916E1,2.296522019E3,2.288664307E3,2.279999971E0,1.705000000E2,5.464956251E-2,3.790092468E0,2.500000000E0,1.700000000E1
1.529498432E1,1.932341965E1,-9.918063052E1,2.295864800E3,2.288007080E3,2.640000105E0,1.381000061E2,5.734085272E-2,3.790092468E0,2.500000000E0,2.000000000E1
1.629498432E1,1.932340851E1,-9.918060775E1,2.295145298E3,2.287287598E3,2.549999952E0,1.205999985E2,5.942645800E-2,3.790092468E0,2.603922367E0,2.000000000E1
1.729498432E1,1.932340259E1,-9.918058889E1,2.294396739E3,2.286539062E3,2.210000038E0,9.780000305E1,6.178062019E-2,3.790092468E0,2.500000000E0,2.000000000E1
1.829498432E1,1.932340064E1,-9.918056655E1,2.294241670E3,2.286384033E3,2.029999971E0,9.569999695E1,6.470090672E-2,3.790092468E0,2.500000000E0,2.000000000E1
1.929498432E1,1.932339734E1,-9.918053894E1,2.294237472E3,2.286379883E3,2.799999952E0,8.969999695E1,6.754286253E-2,3.790092468E0,2.500000000E0,1.900000000E1
2.029498432E1,1.932339480E1,-9.918051199E1,2.294509641E3,2.286652100E3,3.000000000E0,9.259999847E1,7.116509297E-2,3.790092468E0,2.500000000E0,1.900000000E1
2.129498432E1,1.932339490E1,-9.918047747E1,2.294371145E3,2.286513672E3,3.410000086E0,8.530000305E1,7.580573376E-2,3.790092468E0,2.694279194E0,2.000000000E1
2.229498432E1,1.932339423E1,-9.918043325E1,2.293445278E3,2.285587891E3,4.099999905E0,8.709999847E1,7.990879317E-2,3.790092468E0,2.530559301E0,1.800000000E1
2.329498432E1,1.932339595E1,-9.918039419E1,2.293516730E3,2.285659424E3,3.880000114E0,8.559999847E1,8.420716436E-2,3.790092468E0,2.500000000E0,1.800000000E1
2.429498432E1,1.932339827E1,-9.918035330E1,2.294209026E3,2.286351807E3,4.030000210E0,8.180000305E1,8.846465891E-2,3.790092468E0,2.680683851E0,1.900000000E1
2.529498432E1,1.932340790E1,-9.918031403E1,2.293876896E3,2.286019775E3,4.199999809E0,8.100000000E1,9.326997537E-2,3.790092468E0,2.730724335E0,1.600000000E1
2.629498432E1,1.932341304E1,-9.918026856E1,2.293880944E3,2.286023926E3,4.289999962E0,8.059999847E1,9.787924403E-2,3.790092468E0,3.002522707E0,1.700000000E1
2.729498432E1,1.932342060E1,-9.918022537E1,2.293686262E3,2.285829346E3,4.139999866E0,7.919999695E1,1.026334601E-1,3.790092468E0,3.202818394E0,1.600000000E1
2.829498432E1,1.932342479E1,-9.918018028E1,2.293565557E3,2.285708740E3,4.360000134E0,7.800000000E1,1.066302212E-1,3.790092468E0,3.213657618E0,1.600000000E1
2.929498432E1,1.932343264E1,-9.918014311E1,2.293671179E3,2.285814453E3,3.819999933E0,8.100000000E1,1.109125172E-1,3.790092468E0,3.198221445E0,1.700000000E1
3.029498432E1,1.932343022E1,-9.918010238E1,2.294557334E3,2.286700684E3,3.599999905E0,9.069999695E1,1.142982489E-1,3.790092468E0,3.247629166E0,1.700000000E1
3.129498432E1,1.932342662E1,-9.918007034E1,2.295032377E3,2.287175781E3,3.190000057E0,9.940000153E1,1.188675819E-1,3.791164875E0,3.800559998E0,1.300000000E1
3.229498432E1,1.932342731E1,-9.918002680E1,2.295310121E3,2.287453613E3,4.039999962E0,8.109999847E1,1.233753729E-1,3.790092468E0,3.773628712E0,1.600000000E1
3.329498432E1,1.932343316E1,-9.917998429E1,2.295395717E3,2.287539307E3,3.430000067E0,8.440000153E1,1.279595900E-1,3.790092468E0,3.655858278E0,1.400000000E1
3.429498432E1,1.932344050E1,-9.917994130E1,2.295697861E3,2.287841553E3,3.509999990E0,9.490000153E1,1.305597633E-1,3.790092468E0,3.724647284E0,1.400000000E1
3.529498432E1,1.932343506E1,-9.917991720E1,2.295214427E3,2.287358154E3,2.029999971E0,1.275999985E2,1.329230306E-1,3.790092468E0,3.413110733E0,1.500000000E1
3.629498432E1,1.932342568E1,-9.917989699E1,2.294793266E3,2.286937012E3,2.329999924E0,1.298999939E2,1.349813362E-1,3.790092468E0,3.049837351E0,1.500000000E1
3.729498432E1,1.932341210E1,-9.917988366E1,2.293928036E3,2.286071777E3,1.879999995E0,1.633999939E2,1.385408413E-1,3.790092468E0,3.043273449E0,1.500000000E1
3.829498432E1,1.932338213E1,-9.917987174E1,2.294420024E3,2.286563721E3,3.410000086E0,1.575000000E2,1.426101311E-1,3.790092468E0,3.268673182E0,1.600000000E1
3.929498432E1,1.932334596E1,-9.917986584E1,2.293721852E3,2.285865479E3,4.199999809E0,1.721000061E2,1.472668920E-1,3.790092468E0,3.102256536E0,1.700000000E1
4.029498432E1,1.932330414E1,-9.917986348E1,2.293912371E3,2.286055908E3,5.019999981E0,1.733999939E2,1.525672703E-1,3.790092468E0,2.911282063E0,1.500000000E1
4.129498432E1,1.932325662E1,-9.917985951E1,2.294316035E3,2.286459473E3,5.510000229E0,1.736000061E2,1.565135278E-1,3.790092468E0,2.730393410E0,1.700000000E1
4.229498432E1,1.932322164E1,-9.917985316E1,2.295651795E3,2.287795166E3,4.409999847E0,1.713999939E2,1.613205755E-1,3.790092468E0,2.915627956E0,1.800000000E1
4.329498432E1,1.932318009E1,-9.917986581E1,2.293371397E3,2.285514648E3,4.130000114E0,1.650000000E2,1.653714454E-1,3.790092468E0,3.094204903E0,1.300000000E1
4.429498432E1,1.932314655E1,-9.917985074E1,2.293819929E3,2.285963135E3,3.410000086E0,1.566000061E2,1.685158772E-1,3.790092468E0,2.836997032E0,1.600000000E1
4.529498432E1,1.932311856E1,-9.917984647E1,2.293029457E3,2.285172607E3,3.200000048E0,1.471000061E2,1.717219775E-1,3.790092468E0,2.900886774E0,1.700000000E1
4.629498432E1,1.932309630E1,-9.917982705E1,2.292772388E3,2.284915527E3,3.619999886E0,1.220000000E2,1.758353321E-1,3.790092468E0,3.083378792E0,1.700000000E1
4.729498432E1,1.932308049E1,-9.917979161E1,2.292942276E3,2.285085449E3,4.050000191E0,1.110999985E2,1.795369560E-1,3.790092468E0,2.796589375E0,1.800000000E1
