"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.601066140E-1,1.932374630E1,-9.917908260E1,2.290153965E3,2.282300049E3,NaN,NaN,0.000000000E0,1.000000000E2,1.000000000E2,-1.000000000E0
3.555575000E-1,1.932374630E1,-9.917908260E1,2.290153965E3,2.282300049E3,NaN,NaN,0.000000000E0,1.000000000E2,1.000000000E2,-1.000000000E0
1.027922067E1,1.932374630E1,-9.917908260E1,2.290153965E3,2.282300049E3,NaN,NaN,0.000000000E0,1.000000000E2,1.000000000E2,-1.000000000E0
1.032007474E1,1.932374630E1,-9.917908260E1,2.290153965E3,2.282300049E3,NaN,NaN,0.000000000E0,1.000000000E2,1.000000000E2,-1.000000000E0
2.026741187E1,1.932374630E1,-9.917908260E1,2.290153965E3,2.282300049E3,NaN,NaN,0.000000000E0,1.000000000E2,1.000000000E2,-1.000000000E0
2.028951260E1,1.932374630E1,-9.917908260E1,2.290153965E3,2.282300049E3,NaN,NaN,9.133840107E-3,1.000000000E2,1.000000000E2,-1.000000000E0
2.210940088E1,1.932382702E1,-9.917906647E1,2.301950381E3,2.294096680E3,3.400000036E-1,1.890000000E2,1.482349608E-2,8.729085922E0,9.491530418E0,1.100000000E1
2.287421254E1,1.932379496E1,-9.917902421E1,2.304433281E3,2.296579590E3,3.899999857E-1,2.752999878E2,1.499494190E-2,4.605796337E0,5.321017742E0,8.000000000E0
2.387431681E1,1.932379650E1,-9.917902413E1,2.304209888E3,2.296356201E3,9.700000286E-1,3.193999939E2,1.747117859E-2,4.177844048E0,4.617887020E0,1.700000000E1
2.487483619E1,1.932380235E1,-9.917904690E1,2.305170858E3,2.297317139E3,0.000000000E0,NaN,2.017210907E-2,4.579188824E0,5.250307083E0,1.800000000E1
2.588446494E1,1.932382661E1,-9.917904818E1,2.308527250E3,2.300673584E3,6.299999952E-1,3.536000061E2,2.126898578E-2,4.269143581E0,4.758799076E0,1.800000000E1
2.688233754E1,1.932383634E1,-9.917904990E1,2.307654673E3,2.299801025E3,6.200000048E-1,2.626000061E2,2.248436263E-2,4.242109776E0,4.868121624E0,2.000000000E1
2.788233754E1,1.932382541E1,-9.917904996E1,2.307167393E3,2.299313721E3,8.000000119E-1,2.368999939E2,2.365602690E-2,4.519332409E0,5.029595375E0,2.000000000E1
2.888233754E1,1.932382761E1,-9.917906088E1,2.307302908E3,2.299449219E3,1.210000038E0,2.850000000E2,2.416630762E-2,4.779420853E0,5.093730927E0,2.000000000E1
2.988233754E1,1.932382461E1,-9.917906456E1,2.307503850E3,2.299650146E3,6.800000072E-1,2.935000000E2,2.811584460E-2,4.558703899E0,4.839240074E0,2.000000000E1
3.088233754E1,1.932379694E1,-9.917908816E1,2.304756157E3,2.296902344E3,6.700000167E-1,2.653999939E2,3.187368003E-2,5.101362228E0,5.769807816E0,2.000000000E1
3.188233754E1,1.932376784E1,-9.917910637E1,2.302760409E3,2.294906494E3,1.690000057E0,2.183000031E2,3.556532045E-2,5.954207420E0,6.634461403E0,2.000000000E1
3.288233754E1,1.932374668E1,-9.917913348E1,2.301240735E3,2.293386719E3,1.980000019E0,2.516000061E2,3.770502752E-2,6.629819870E0,7.180582523E0,2.000000000E1
3.388233754E1,1.932374147E1,-9.917915311E1,2.300260317E3,2.292406250E3,1.600000024E0,2.932999878E2,4.101417123E-2,7.415370464E0,7.648031712E0,2.000000000E1
3.488233754E1,1.932373648E1,-9.917918420E1,2.299426650E3,2.291572510E3,2.089999914E0,2.988999939E2,4.513739963E-2,8.634908676E0,8.262963295E0,2.000000000E1
3.588233754E1,1.932371632E1,-9.917921718E1,2.298043704E3,2.290189453E3,1.649999976E0,2.553999939E2,4.764135282E-2,9.251204491E0,8.478882790E0,2.000000000E1
3.688233754E1,1.932371129E1,-9.917924044E1,2.297384582E3,2.289530273E3,1.480000019E0,2.651000061E2,5.016349081E-2,1.012181950E1,8.945619583E0,2.000000000E1
3.788233754E1,1.932370464E1,-9.917926342E1,2.296976439E3,2.289122070E3,1.570000052E0,2.625000000E2,5.323562331E-2,1.077277756E1,9.259303093E0,1.900000000E1
3.888233754E1,1.932368366E1,-9.917928247E1,2.296571251E3,2.288716797E3,1.519999981E0,2.418000031E2,5.473391433E-2,1.059650230E1,9.229165077E0,1.900000000E1
3.988233754E1,1.932367941E1,-9.917929602E1,2.295721189E3,2.287866699E3,6.200000048E-1,2.745000000E2,5.605159250E-2,9.919396400E0,9.466731071E0,1.700000000E1
4.088233754E1,1.932366917E1,-9.917930234E1,2.295974643E3,2.288120117E3,4.399999976E-1,2.338999939E2,5.675584121E-2,9.877948761E0,9.769234657E0,1.600000000E1
4.188233754E1,1.932366301E1,-9.917930390E1,2.296468068E3,2.288613525E3,2.599999905E-1,1.900000000E2,5.911026013E-2,9.699034691E0,9.844256401E0,1.600000000E1
