"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.728353640E-1,1.931191870E1,-9.918336610E1,2.312989266E3,2.305100098E3,NaN,NaN,0.000000000E0,1.000000000E2,1.000000000E2,-1.000000000E0
3.972995310E-1,1.931191870E1,-9.918336610E1,2.312989266E3,2.305100098E3,NaN,NaN,6.886077411E-2,1.000000000E2,1.000000000E2,-1.000000000E0
2.460160572E0,1.931253443E1,-9.918343626E1,2.322271703E3,2.314383789E3,7.400000095E-1,2.513999939E2,7.306726789E-2,1.974708176E1,2.755642509E1,1.800000000E1
3.460649790E0,1.931250950E1,-9.918346641E1,2.310178313E3,2.302290283E3,0.000000000E0,NaN,7.631839801E-2,9.962278366E0,1.330229473E1,6.000000000E0
4.215052707E0,1.931248271E1,-9.918347882E1,2.316219902E3,2.308331787E3,0.000000000E0,NaN,7.760128256E-2,7.030893803E0,9.026212692E0,7.000000000E0
5.214574842E0,1.931248429E1,-9.918349093E1,2.315489942E3,2.307601807E3,3.000000119E-1,8.559999847E1,7.829051366E-2,4.227134705E0,5.266792297E0,1.300000000E1
6.210069581E0,1.931247813E1,-9.918349166E1,2.318778288E3,2.310890137E3,6.100000143E-1,7.480000305E1,7.980610782E-2,4.517516613E0,6.321239948E0,1.300000000E1
7.212585258E0,1.931248847E1,-9.918348225E1,2.319052660E3,2.311164551E3,8.199999928E-1,7.480000305E1,8.043556042E-2,3.790092468E0,4.879876614E0,1.300000000E1
8.212358070E0,1.931249324E1,-9.918348548E1,2.317899335E3,2.310011230E3,9.300000072E-1,7.480000305E1,8.256667901E-2,3.790092468E0,4.140040398E0,1.600000000E1
9.212358070E0,1.931250471E1,-9.918346921E1,2.318237900E3,2.310349854E3,1.129999995E0,7.690000153E1,8.435393251E-2,3.790092468E0,3.414205313E0,1.600000000E1
1.021235807E1,1.931251227E1,-9.918345418E1,2.319284240E3,2.311396240E3,1.759999990E0,7.909999847E1,8.637812143E-2,3.790092468E0,3.121667385E0,1.600000000E1
1.121235807E1,1.931251846E1,-9.918343604E1,2.320194102E3,2.312306152E3,2.480000019E0,7.669999695E1,8.914258196E-2,3.790092468E0,3.014319897E0,1.600000000E1
1.221235807E1,1.931252147E1,-9.918340989E1,2.320629834E3,2.312741943E3,3.049999952E0,8.350000000E1,9.169217382E-2,3.790092468E0,2.852914572E0,1.600000000E1
1.321235807E1,1.931252837E1,-9.918338672E1,2.321280163E3,2.313392334E3,2.589999914E0,7.880000305E1,9.456913475E-2,3.790092468E0,2.604307890E0,1.600000000E1
1.421235807E1,1.931253626E1,-9.918336061E1,2.321469058E3,2.313581299E3,2.430000067E0,8.050000000E1,9.716603723E-2,3.790092468E0,2.500000000E0,1.600000000E1
1.521235807E1,1.931253843E1,-9.918333597E1,2.322137950E3,2.314250244E3,3.029999971E0,8.469999695E1,9.963227403E-2,3.790092468E0,2.500000000E0,1.600000000E1
1.621235807E1,1.931254236E1,-9.918331284E1,2.322242143E3,2.314354492E3,2.599999905E0,8.459999847E1,1.017120675E-1,3.790092468E0,2.500000000E0,1.700000000E1
1.721235807E1,1.931253840E1,-9.918329347E1,2.321837084E3,2.313949463E3,2.460000038E0,1.009000015E2,1.040693983E-1,3.790092468E0,2.500000000E0,1.700000000E1
1.821235807E1,1.931252452E1,-9.918327649E1,2.322011643E3,2.314124023E3,2.579999924E0,1.225999985E2,1.066814842E-1,3.790092468E0,2.500000000E0,1.600000000E1
1.921235807E1,1.931250788E1,-9.918325892E1,2.321485034E3,2.313597412E3,1.879999995E0,1.318000031E2,1.087459537E-1,3.790092468E0,2.500000000E0,1.600000000E1
2.021235807E1,1.931249880E1,-9.918324176E1,2.321251378E3,2.313363770E3,1.179999948E0,1.035000000E2,1.107785230E-1,3.790092468E0,2.812479258E0,1.500000000E1
2.121235807E1,1.931248056E1,-9.918324303E1,2.320760699E3,2.312873047E3,1.759999990E0,1.921000061E2,1.128226333E-1,3.790092468E0,3.192121983E0,1.400000000E1
